Date,Cases
3/8/20,21
3/9/20,57
3/10/20,69
3/11/20,155
3/12/20,355
3/13/20,619
3/14/20,642
3/15/20,"1,034"
3/16/20,"2,121"
3/17/20,"2,451"
3/18/20,"2,971"
3/19/20,"3,706"
3/20/20,"4,007"
3/21/20,"2,639"
3/22/20,"2,580"
3/23/20,"3,570"
3/24/20,"4,497"
3/25/20,"4,874"
3/26/20,"5,044"
3/27/20,"5,119"
3/28/20,"3,479"
3/29/20,"3,560"
3/30/20,"6,129"
3/31/20,"5,458"
4/1/20,"5,448"
4/2/20,"5,746"
4/3/20,"5,670"
4/4/20,"3,866"
4/5/20,"3,781"
4/6/20,"6,353"
4/7/20,"6,044"
4/8/20,"5,575"
4/9/20,"5,070"
4/10/20,"4,510"
4/11/20,"3,732"
4/12/20,"2,887"
4/13/20,"3,311"
4/14/20,"4,144"
4/15/20,"3,876"
4/16/20,"3,530"
4/17/20,"3,586"
4/18/20,"2,172"
4/19/20,"2,343"
4/20/20,"3,792"
4/21/20,"3,061"
4/22/20,"3,446"
4/23/20,"2,841"
4/24/20,"2,535"
4/25/20,"1,595"
4/26/20,"1,003"
4/27/20,"2,290"
4/28/20,"2,726"
4/29/20,"2,340"
4/30/20,"2,022"
5/1/20,"1,887"
5/2/20,"1,058"
5/3/20,787
5/4/20,"1,550"
5/5/20,"1,512"
5/6/20,"1,397"
5/7/20,"1,238"
5/8/20,"1,079"
5/9/20,657
5/10/20,457
5/11/20,"1,231"
5/12/20,"1,285"
5/13/20,"1,333"
5/14/20,"1,110"
5/15/20,873
5/16/20,485
5/17/20,360
5/18/20,895
5/19/20,"1,003"
5/20/20,"1,077"
5/21/20,"1,069"
5/22/20,"1,036"
5/23/20,455
5/24/20,467
5/25/20,464
5/26/20,"1,050"
5/27/20,741
5/28/20,646
5/29/20,638
5/30/20,346
5/31/20,230
6/1/20,686
6/2/20,570
6/3/20,515
6/4/20,517
6/5/20,402
6/6/20,247
6/7/20,197
6/8/20,447
6/9/20,419
6/10/20,363
6/11/20,363
6/12/20,409
6/13/20,196
6/14/20,180
6/15/20,380
6/16/20,419
6/17/20,356
6/18/20,378
6/19/20,361
6/20/20,203
6/21/20,172
6/22/20,402
6/23/20,381
6/24/20,381
6/25/20,298
6/26/20,317
6/27/20,206
6/28/20,201
6/29/20,437
6/30/20,441
7/1/20,395
7/2/20,416
7/3/20,233
7/4/20,120
7/5/20,155
7/6/20,431
7/7/20,461
7/8/20,437
7/9/20,392
7/10/20,306
7/11/20,259
7/12/20,223
7/13/20,483
7/14/20,402
7/15/20,440
7/16/20,411
7/17/20,413
7/18/20,216
7/19/20,176
7/20/20,401
7/21/20,340
7/22/20,329
7/23/20,308
7/24/20,298
7/25/20,153
7/26/20,140
7/27/20,312
7/28/20,313
7/29/20,287
7/30/20,274
7/31/20,262
8/1/20,189
8/2/20,135
8/3/20,348
8/4/20,187
8/5/20,298
8/6/20,288
8/7/20,255
8/8/20,160
8/9/20,133
8/10/20,312
8/11/20,263
8/12/20,320
8/13/20,276
8/14/20,277
8/15/20,151
8/16/20,140
8/17/20,333
8/18/20,283
8/19/20,257
8/20/20,227
8/21/20,252
8/22/20,136
8/23/20,150
8/24/20,297
8/25/20,283
8/26/20,313
8/27/20,274
8/28/20,280
8/29/20,128
8/30/20,186
8/31/20,315
9/1/20,294
9/2/20,271
9/3/20,273
9/4/20,230
9/5/20,156
9/6/20,207
9/7/20,217
9/8/20,393
9/9/20,353
9/10/20,323
9/11/20,313
9/12/20,202
9/13/20,263
9/14/20,461
9/15/20,415
9/16/20,456
9/17/20,441
9/18/20,292
9/19/20,216
9/20/20,220
9/21/20,558
9/22/20,497
9/23/20,612
9/24/20,542
9/25/20,463
9/26/20,280
9/27/20,382
9/28/20,437
9/29/20,723
9/30/20,605
10/1/20,705
10/2/20,605
10/3/20,299
10/4/20,335
10/5/20,766
