Date,Tweets
2013/1/1,24
2013/1/2,71
2013/1/3,92
2013/1/4,94
2013/1/5,38
2013/1/6,24
2013/1/7,92
2013/1/8,99
2013/1/9,183
2013/1/10,104
2013/1/11,91
2013/1/12,34
2013/1/13,20
2013/1/14,110
2013/1/15,124
2013/1/16,145
2013/1/17,164
2013/1/18,124
2013/1/19,26
2013/1/20,30
2013/1/21,135
2013/1/22,173
2013/1/23,151
2013/1/24,127
2013/1/25,137
2013/1/26,43
2013/1/27,30
2013/1/28,155
2013/1/29,160
2013/1/30,177
2013/1/31,226
2013/2/1,157
2013/2/2,65
2013/2/3,28
2013/2/4,110
2013/2/5,131
2013/2/6,153
2013/2/7,283
2013/2/8,107
2013/2/9,42
2013/2/10,29
2013/2/11,123
2013/2/12,135
2013/2/13,120
2013/2/14,112
2013/2/15,96
2013/2/16,45
2013/2/17,25
2013/2/18,109
2013/2/19,163
2013/2/20,134
2013/2/21,111
2013/2/22,106
2013/2/23,40
2013/2/24,22
2013/2/25,130
2013/2/26,138
2013/2/27,142
2013/2/28,200
2013/3/1,150
2013/3/2,34
2013/3/3,21
2013/3/4,151
2013/3/5,131
2013/3/6,235
2013/3/7,101
2013/3/8,153
2013/3/9,36
2013/3/10,38
2013/3/11,107
2013/3/12,99
2013/3/13,181
2013/3/14,130
2013/3/15,152
2013/3/16,28
2013/3/17,22
2013/3/18,98
2013/3/19,175
2013/3/20,189
2013/3/21,106
2013/3/22,82
2013/3/23,29
2013/3/24,18
2013/3/25,72
2013/3/26,107
2013/3/27,144
2013/3/28,85
2013/3/29,68
2013/3/30,19
2013/3/31,12
2013/4/1,88
2013/4/2,135
2013/4/3,117
2013/4/4,105
2013/4/5,120
2013/4/6,57
2013/4/7,31
2013/4/8,113
2013/4/9,86
2013/4/10,149
2013/4/11,104
2013/4/12,114
2013/4/13,69
2013/4/14,20
2013/4/15,173
2013/4/16,86
2013/4/17,138
2013/4/18,96
2013/4/19,76
2013/4/20,35
2013/4/21,19
2013/4/22,201
2013/4/23,129
2013/4/24,166
2013/4/25,200
2013/4/26,110
2013/4/27,57
2013/4/28,20
2013/4/29,155
2013/4/30,193
2013/5/1,137
2013/5/2,125
2013/5/3,99
2013/5/4,32
2013/5/5,33
2013/5/6,96
2013/5/7,126
2013/5/8,103
2013/5/9,103
2013/5/10,119
2013/5/11,35
2013/5/12,30
2013/5/13,118
2013/5/14,164
2013/5/15,113
2013/5/16,139
2013/5/17,103
2013/5/18,16
2013/5/19,12
2013/5/20,122
2013/5/21,74
2013/5/22,109
2013/5/23,115
2013/5/24,100
2013/5/25,37
2013/5/26,14
2013/5/27,33
2013/5/28,143
2013/5/29,102
2013/5/30,113
2013/5/31,119
2013/6/1,32
2013/6/2,18
2013/6/3,74
2013/6/4,121
2013/6/5,119
2013/6/6,101
2013/6/7,90
2013/6/8,18
2013/6/9,8
2013/6/10,134
2013/6/11,107
2013/6/12,85
2013/6/13,104
2013/6/14,97
2013/6/15,24
2013/6/16,21
2013/6/17,123
2013/6/18,103
2013/6/19,110
2013/6/20,94
2013/6/21,98
2013/6/22,24
2013/6/23,11
2013/6/24,109
2013/6/25,175
2013/6/26,146
2013/6/27,108
2013/6/28,79
2013/6/29,19
2013/6/30,14
2013/7/1,72
2013/7/2,91
2013/7/3,103
2013/7/4,33
2013/7/5,49
2013/7/6,15
2013/7/7,11
2013/7/8,95
2013/7/9,127
2013/7/10,100
2013/7/11,95
2013/7/12,87
2013/7/13,24
2013/7/14,14
2013/7/15,107
2013/7/16,95
2013/7/17,119
2013/7/18,92
2013/7/19,73
2013/7/20,42
2013/7/21,26
2013/7/22,91
2013/7/23,96
2013/7/24,92
2013/7/25,119
2013/7/26,128
2013/7/27,34
2013/7/28,19
2013/7/29,74
2013/7/30,118
2013/7/31,73
2013/8/1,103
2013/8/2,79
2013/8/3,20
2013/8/4,18
2013/8/5,93
2013/8/6,93
2013/8/7,116
2013/8/8,100
2013/8/9,76
2013/8/10,24
2013/8/11,11
2013/8/12,79
2013/8/13,84
2013/8/14,116
2013/8/15,123
